,Q_Learning,SARSA,SARSA_PIES
567,29.8,29.9,54.3
568,29.8,29.8,54.6
569,29.8,29.9,53.3
570,28.9,29.0,56.0
571,31.1,30.2,57.0
572,29.0,29.7,57.8
573,28.7,29.6,55.0
574,30.8,28.0,54.6
575,30.2,30.2,54.2
576,27.6,30.0,59.1
577,29.7,29.4,54.9
578,27.9,27.5,56.6
579,31.3,29.3,55.1
580,29.3,29.6,56.1
581,29.0,28.7,56.3
582,28.1,28.4,55.1
583,27.5,28.0,53.7
584,27.9,28.8,57.2
585,28.3,28.3,53.3
586,27.8,28.8,56.0
587,30.5,31.2,53.3
588,28.0,31.7,57.2
589,32.2,25.9,57.3
590,30.8,27.7,53.8
591,31.2,29.1,57.7
592,27.0,26.0,57.4
593,28.9,28.9,58.1
594,28.2,28.2,54.5
595,29.0,31.9,54.0
596,29.6,27.3,59.1
597,31.3,32.4,55.7
598,32.8,30.4,51.5
599,30.3,30.1,56.6
600,29.8,27.6,53.8
601,28.8,28.8,56.6
602,29.8,31.2,57.0
603,30.0,27.9,51.7
604,27.9,29.2,57.1
605,29.4,29.9,54.6
606,31.7,28.7,56.3
607,29.9,28.5,60.3
608,29.2,29.5,58.6
609,29.8,26.9,57.3
610,29.3,29.3,54.8
611,28.5,30.6,55.4
612,31.5,29.6,56.1
613,28.9,29.8,57.6
614,31.3,29.1,55.8
615,28.1,28.1,57.9
616,27.4,29.8,53.3
617,26.5,27.0,61.3
618,27.6,32.1,54.5
619,26.6,28.5,54.6
620,29.4,28.7,54.5
621,29.6,30.2,57.9
622,27.7,27.9,57.0
623,30.2,27.6,56.0
624,28.3,29.6,56.7
625,28.3,30.7,56.5
626,27.8,27.2,54.2
627,27.4,29.2,54.8
628,30.2,30.5,54.6
629,27.7,29.7,56.1
630,29.2,27.3,56.6
631,29.5,28.9,57.3
632,27.5,29.0,54.5
633,30.0,29.1,56.2
634,29.2,30.1,53.1
635,28.9,28.8,55.6
636,29.1,28.6,56.7
637,28.0,29.1,54.0
638,30.3,26.6,56.7
639,28.9,30.2,53.4
640,28.7,29.7,57.2
641,27.7,29.5,54.4
642,30.7,28.1,54.6
643,30.3,28.8,52.4
644,28.6,32.6,54.2
645,27.5,30.8,53.9
646,30.3,30.9,56.0
647,28.1,30.5,56.4
648,28.6,29.2,53.8
649,28.1,28.4,54.0
650,28.9,29.3,55.4
651,29.3,28.1,55.4
652,29.2,28.7,55.3
653,26.8,28.8,58.6
654,29.5,28.4,56.4
655,27.1,28.8,54.6
656,28.2,30.8,54.2
657,29.3,26.7,52.7
658,28.9,28.9,55.5
659,28.4,28.5,55.4
660,27.5,31.2,57.2
661,28.1,28.7,53.4
662,29.0,27.5,55.4
663,28.3,28.5,56.3
664,27.8,29.0,59.8
665,30.0,29.7,56.0
666,27.8,27.5,54.9
667,31.0,28.6,54.3
668,28.3,30.1,53.0
669,28.7,27.7,55.8
670,27.7,26.4,58.3
671,28.9,31.9,55.6
672,30.1,30.0,55.9
673,29.9,29.9,55.0
674,28.3,28.7,54.8
675,29.9,29.5,58.3
676,27.6,29.0,58.3
677,29.9,28.1,55.1
678,27.3,29.6,54.8
679,28.0,27.4,55.5
680,28.5,28.4,51.3
681,27.6,30.9,52.8
682,29.2,29.3,59.3
683,25.5,29.5,53.0
684,31.5,29.6,53.1
685,27.7,28.4,55.2
686,31.0,26.8,54.9
687,31.1,30.2,56.0
688,27.2,28.0,55.9
689,30.0,27.9,58.4
690,27.2,27.0,56.8
691,25.8,27.8,54.7
692,27.6,27.5,55.5
693,28.1,28.0,57.9
694,29.0,32.8,55.2
695,29.8,28.7,55.9
696,29.9,28.4,57.5
697,28.3,28.1,57.5
698,27.7,29.4,55.8
699,27.5,30.1,57.9
700,30.0,31.8,57.5
701,28.0,28.8,53.9
702,26.3,27.9,53.6
703,28.3,30.8,57.6
704,30.0,29.8,57.9
705,27.6,28.5,51.4
706,28.8,30.2,56.8
707,28.3,30.9,54.9
708,29.7,27.5,58.3
709,29.2,28.6,55.0
710,30.1,30.7,54.8
711,29.1,31.8,54.7
712,28.7,28.2,56.8
713,27.9,29.6,54.1
714,30.2,28.3,54.6
715,29.1,26.9,53.2
716,29.3,28.5,54.0
717,29.1,30.0,55.5
718,28.2,26.4,57.0
719,29.6,29.5,54.4
720,30.6,29.8,55.0
721,28.8,27.5,55.7
722,29.0,28.6,53.9
723,30.4,29.1,55.1
724,31.2,29.2,54.9
725,30.4,29.2,54.3
726,29.6,29.9,55.5
727,30.1,27.5,54.5
728,29.6,28.9,57.4
729,28.9,29.4,55.5
730,26.7,31.7,55.4
731,27.9,29.7,60.1
732,29.2,27.7,54.1
733,27.8,30.0,50.5
734,32.8,32.6,55.1
735,28.0,27.6,53.0
736,27.1,31.0,53.9
737,26.4,27.4,52.7
738,29.5,29.0,52.2
739,28.4,30.0,54.7
740,28.3,27.1,53.6
741,28.6,29.0,54.6
742,28.4,30.7,56.3
743,29.6,29.2,58.9
744,28.0,31.8,58.0
745,28.3,28.9,53.0
746,29.2,29.1,55.0
747,27.2,30.0,55.5
748,25.7,28.3,53.7
749,30.1,29.1,52.8
750,29.5,28.6,52.9
751,26.4,26.1,55.6
752,29.5,31.3,53.2
753,30.3,30.8,56.1
754,27.5,28.7,57.5
755,26.8,27.7,53.2
756,28.9,29.1,55.6
757,27.0,30.6,54.9
758,30.7,31.5,52.6
759,28.4,30.9,55.2
760,29.4,30.6,57.5
761,29.0,29.1,58.8
762,32.3,25.8,56.0
763,31.9,31.5,53.0
764,27.3,31.1,52.7
765,28.9,28.2,58.8
766,28.0,31.2,54.8
767,30.0,28.3,53.4
768,28.8,29.2,58.4
769,30.5,29.9,55.8
770,29.4,32.4,53.6
771,28.2,28.8,52.9
772,29.0,29.2,51.1
773,28.5,29.8,54.9
774,32.9,29.3,51.8
775,27.2,29.1,53.1
776,28.0,27.2,55.4
777,28.8,29.6,57.7
778,30.7,27.0,57.5
779,31.1,31.0,55.2
780,26.5,29.9,55.5
781,28.0,33.1,54.9
782,30.8,28.5,59.2
783,28.4,28.2,54.0
784,27.1,26.8,53.7
785,29.7,30.4,56.9
786,27.4,27.8,55.5
787,27.3,28.8,54.3
788,28.6,31.0,54.1
789,28.9,26.6,56.4
790,30.6,28.5,55.8
791,30.6,28.6,56.7
792,30.2,29.2,53.9
793,24.8,28.7,53.3
794,30.0,27.2,56.8
795,30.4,26.4,54.7
796,28.1,29.7,52.8
797,28.5,28.6,56.4
798,29.7,30.9,58.1
799,28.8,30.3,51.0
800,32.1,27.3,53.4
801,30.4,29.9,56.1
802,28.8,28.9,58.2
803,28.2,28.9,56.6
804,29.4,28.2,54.0
805,27.4,28.2,54.8
806,28.1,28.8,55.9
807,30.1,28.4,52.9
808,31.5,28.2,52.5
809,27.3,28.4,54.7
810,28.4,28.2,51.8
811,31.9,27.5,54.3
812,31.1,29.2,55.1
813,29.2,28.7,55.3
814,28.7,30.0,52.4
815,32.1,28.0,51.4
816,30.4,27.2,54.2
817,26.4,31.1,52.0
818,28.1,29.1,57.3
819,28.4,30.8,54.0
820,25.8,30.4,53.4
821,33.9,26.4,54.6
822,29.3,33.4,53.3
823,28.4,28.4,52.4
824,28.4,27.1,53.8
825,29.8,26.4,50.0
826,28.9,29.7,53.5
827,28.3,32.4,55.0
828,31.0,30.0,53.8
829,28.1,28.0,55.4
830,30.0,25.8,54.6
831,29.8,29.4,53.4
832,27.6,27.1,56.6
833,28.2,28.8,53.5
834,29.4,29.0,57.5
835,30.1,29.9,53.6
836,27.3,27.4,52.2
837,29.7,28.7,60.0
838,28.6,29.2,56.5
839,29.0,27.6,58.4
840,29.9,31.9,57.8
841,28.1,29.9,56.1
842,26.5,27.8,55.6
843,27.0,30.1,55.5
844,28.5,32.2,53.6
845,30.3,32.7,54.8
846,31.1,30.4,56.3
847,28.9,30.8,54.9
848,30.7,28.6,53.3
849,31.7,29.7,53.5
850,27.9,29.8,51.0
851,28.4,30.7,54.6
852,31.2,28.6,57.2
853,30.8,27.7,53.5
854,29.8,29.4,54.0
855,29.3,30.8,54.4
856,29.2,29.0,52.7
857,31.6,29.1,54.3
858,29.3,28.3,55.6
859,26.5,29.7,57.6
860,26.6,27.6,53.4
861,27.7,28.5,55.1
862,32.3,28.0,53.5
863,31.0,27.7,54.8
864,29.5,25.3,53.7
865,27.1,28.1,57.1
866,27.9,29.2,53.5
867,29.4,30.0,56.1
868,28.2,28.0,53.6
869,29.1,28.7,52.1
870,29.1,29.4,55.1
871,26.6,29.1,54.4
872,28.4,29.6,55.7
873,27.0,28.8,55.6
874,26.7,28.4,54.5
875,30.5,29.6,56.2
876,30.1,28.1,52.7
877,27.1,29.8,53.6
878,29.1,26.6,57.6
879,30.2,30.2,52.2
880,27.1,27.1,55.6
881,27.7,27.5,52.8
882,27.4,30.3,55.6
883,30.2,31.4,52.0
884,28.7,28.4,53.4
885,27.2,30.8,54.1
886,28.8,27.1,57.4
887,30.4,28.5,56.1
888,27.5,31.9,53.9
889,27.6,28.3,56.0
890,31.3,28.1,55.3
891,29.3,26.3,55.0
892,27.6,29.6,55.6
893,29.3,31.7,54.6
894,28.5,26.3,53.5
895,32.2,30.7,54.2
896,30.2,31.2,55.3
897,26.9,28.8,55.9
898,28.9,30.3,54.2
899,30.4,31.4,57.1
900,26.8,26.7,55.6
901,30.8,29.8,55.7
902,27.8,27.5,55.7
